25503936;41.16598;-8.640505;-0.1508053;0.7184819;Ramalde;;
25503937;41.16634;-8.640759;-0.1508097;0.7184881;Ramalde;;
25503938;41.1666;-8.640655;-0.1508079;0.7184927;Ramalde;;
25503940;41.1673;-8.640417;-0.1508037;0.718505;Ramalde;;
25503943;41.1683;-8.640303;-0.1508017;0.7185224;Ramalde;;
25503951;41.16835;-8.642045;-0.1508321;0.7185232;Ramalde;;
25503952;41.16822;-8.642488;-0.1508399;0.7185211;Ramalde;;
25503953;41.16815;-8.642709;-0.1508437;0.7185198;Ramalde;;
25503962;41.16774;-8.643825;-0.1508632;0.7185127;Ramalde;;
25503963;41.16757;-8.643861;-0.1508638;0.7185097;Ramalde;;
25503965;41.16728;-8.643818;-0.1508631;0.7185045;Ramalde;;
25503966;41.16708;-8.643689;-0.1508608;0.7185011;Ramalde;;
25503967;41.16685;-8.643485;-0.1508573;0.7184971;Ramalde;;
25503969;41.1666;-8.643475;-0.1508571;0.7184926;Ramalde;;
25503970;41.16631;-8.64379;-0.1508626;0.7184877;Ramalde;;
25503977;41.16589;-8.641699;-0.1508261;0.7184803;Ramalde;;
25503993;41.16693;-8.642846;-0.1508461;0.7184985;Ramalde;;
25503994;41.16696;-8.643142;-0.1508513;0.718499;Ramalde;;
25503995;41.16702;-8.64325;-0.1508532;0.7185;Ramalde;;
25503996;41.16728;-8.64355;-0.1508584;0.7185046;Ramalde;;
25503998;41.16752;-8.643572;-0.1508588;0.7185088;Ramalde;;
25503999;41.16766;-8.643435;-0.1508564;0.7185112;Ramalde;;
25504000;41.16771;-8.643175;-0.1508519;0.7185121;Ramalde;;
25504002;41.16768;-8.643067;-0.15085;0.7185115;Ramalde;;
25504003;41.16763;-8.642487;-0.1508399;0.7185107;Ramalde;;
25504005;41.16788;-8.642616;-0.1508421;0.718515;Ramalde;;
25504006;41.1681;-8.642551;-0.150841;0.7185189;Ramalde;;
25504007;41.16823;-8.642273;-0.1508361;0.7185212;Ramalde;;
25504008;41.16822;-8.641962;-0.1508307;0.7185209;Ramalde;;
25504010;41.16808;-8.641736;-0.1508268;0.7185186;Ramalde;;
25504011;41.16787;-8.641665;-0.1508255;0.7185149;Ramalde;;
25504013;41.16764;-8.641793;-0.1508278;0.7185109;Ramalde;;
25504015;41.1672;-8.641696;-0.1508261;0.7185032;Ramalde;;
25504016;41.16737;-8.641461;-0.150822;0.7185061;Ramalde;;
25504017;41.16751;-8.641149;-0.1508165;0.7185086;Ramalde;;
25504018;41.1674;-8.640792;-0.1508103;0.7185067;Ramalde;;
25504021;41.16718;-8.640663;-0.150808;0.7185029;Ramalde;;
25504024;41.16689;-8.640759;-0.1508097;0.7184978;Ramalde;;
25504025;41.16677;-8.641125;-0.1508161;0.7184957;Ramalde;;
25504027;41.16682;-8.641432;-0.1508214;0.7184966;Ramalde;;
25504120;41.17624;-8.622593;-0.1504926;0.7186609;Paranhos;;
25504123;41.17555;-8.622424;-0.1504897;0.718649;Paranhos;;
25504126;41.17492;-8.622803;-0.1504963;0.7186378;Paranhos;;
25504135;41.17453;-8.622573;-0.1504923;0.718631;Paranhos;;
25504141;41.17284;-8.622349;-0.1504884;0.7186017;Paranhos;;
25504147;41.17249;-8.622464;-0.1504904;0.7185954;Paranhos;;
25504151;41.17229;-8.622746;-0.1504953;0.7185921;Paranhos;;
25504153;41.17229;-8.623186;-0.150503;0.7185921;Paranhos;;
25504154;41.17248;-8.623497;-0.1505084;0.7185954;Paranhos;;
25504156;41.17284;-8.623572;-0.1505097;0.7186017;Paranhos;;
25504157;41.17315;-8.623322;-0.1505054;0.7186069;Paranhos;;
25504158;41.17321;-8.623159;-0.1505025;0.7186081;Paranhos;;
25504163;41.17467;-8.622449;-0.1504901;0.7186336;Paranhos;;
25504164;41.17428;-8.622375;-0.1504888;0.7186267;Paranhos;;
25504165;41.17272;-8.622046;-0.1504831;0.7185995;Paranhos;;
25504166;41.17251;-8.622107;-0.1504841;0.7185959;Paranhos;;
25504167;41.17216;-8.622543;-0.1504918;0.7185898;Paranhos;;
25504168;41.17209;-8.622892;-0.1504979;0.7185886;Paranhos;;
25504169;41.17235;-8.623574;-0.1505098;0.7185931;Paranhos;;
25504170;41.17266;-8.624052;-0.1505181;0.7185984;Paranhos;;
25504171;41.17287;-8.624636;-0.1505283;0.7186022;Paranhos;;
